Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T150_001,SE_T150_002,SE_T150_003,SE_T150_004,SE_T150_005,SE_T150_006,SE_T150_007,SE_T150_008
"361132933329333070400","08000US361132933329333070400","Census Tract 704, Glens Falls city, Glens Falls city, Warren County, New York","Census Tract 704, Glens Falls city, Glens Falls city, Warren County, New York","ny","080","00","ACSSF","0009876",,,,,"36","113","29333","29333","3629333","070400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648,183,1007,891,385,139,43,0,2648,183,2465,1458,567,182,43,0
"361132933329333070500","08000US361132933329333070500","Census Tract 705, Glens Falls city, Glens Falls city, Warren County, New York","Census Tract 705, Glens Falls city, Glens Falls city, Warren County, New York","ny","080","00","ACSSF","0009877",,,,,"36","113","29333","29333","3629333","070500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1602,283,651,454,98,116,0,0,1602,283,1319,668,214,116,0,0
"361132933329333070800","08000US361132933329333070800","Census Tract 708 (part), Glens Falls city, Glens Falls city, Warren County, New York","Census Tract 708 (part), Glens Falls city, Glens Falls city, Warren County, New York","ny","080","00","ACSSF","0009878",,,,,"36","113","29333","29333","3629333","070800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"361133133599999076000","08000US361133133599999076000","Census Tract 760 (part), Hague town, Hague town, Warren County, New York","Census Tract 760 (part), Hague town, Hague town, Warren County, New York","ny","080","00","ACSSF","0009879",,,,,"36","113","31335","99999","3699999","076000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,676,84,147,166,148,86,35,10,676,84,592,445,279,131,45,10
"361133563999999076000","08000US361133563999999076000","Census Tract 760 (part), Horicon town, Horicon town, Warren County, New York","Census Tract 760 (part), Horicon town, Horicon town, Warren County, New York","ny","080","00","ACSSF","0009880",,,,,"36","113","35639","99999","3699999","076000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166,137,428,285,159,126,16,15,1166,137,1029,601,316,157,31,15
"361133871599999074000","08000US361133871599999074000","Census Tract 740, Johnsburg town, Johnsburg town, Warren County, New York","Census Tract 740, Johnsburg town, Johnsburg town, Warren County, New York","ny","080","00","ACSSF","0009881",,,,,"36","113","38715","99999","3699999","074000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219,430,830,432,269,242,16,0,2219,430,1789,959,527,258,16,0
"361134051940508072000","08000US361134051940508072000","Census Tract 720 (part), Lake George village, Lake George town, Warren County, New York","Census Tract 720 (part), Lake George village, Lake George town, Warren County, New York","ny","080","00","ACSSF","0009882",,,,,"36","113","40519","40508","3640508","072000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,92,201,242,173,55,33,14,810,92,718,517,275,102,47,14
"361134051999999072000","08000US361134051999999072000","Census Tract 720 (part), Remainder of Lake George town, Lake George town, Warren County, New York","Census Tract 720 (part), Remainder of Lake George town, Lake George town, Warren County, New York","ny","080","00","ACSSF","0009883",,,,,"36","113","40519","99999","3699999","072000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831,163,700,367,361,210,30,0,1831,163,1668,968,601,240,30,0
"361134066240667071000","08000US361134066240667071000","Census Tract 710 (part), Lake Luzerne-Hadley CDP (part), Lake Luzerne town, Warren County, New York","Census Tract 710 (part), Lake Luzerne-Hadley CDP (part), Lake Luzerne town, Warren County, New York","ny","080","00","ACSSF","0009884",,,,,"36","113","40662","40667","3640667","071000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,96,276,324,121,18,0,0,835,96,739,463,139,18,0,0
"361134066299999071000","08000US361134066299999071000","Census Tract 710 (part), Remainder of Lake Luzerne town, Lake Luzerne town, Warren County, New York","Census Tract 710 (part), Remainder of Lake Luzerne town, Lake Luzerne town, Warren County, New York","ny","080","00","ACSSF","0009885",,,,,"36","113","40662","99999","3699999","071000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382,277,613,269,124,89,10,0,1382,277,1105,492,223,99,10,0
"361136035629338070700","08000US361136035629338070700","Census Tract 707, Glens Falls North CDP, Queensbury town, Warren County, New York","Census Tract 707, Glens Falls North CDP, Queensbury town, Warren County, New York","ny","080","00","ACSSF","0009886",,,,,"36","113","60356","29338","3629338","070700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6158,551,1709,1760,1098,708,216,116,6158,551,5607,3898,2138,1040,332,116
"361136035680082070800","08000US361136035680082070800","Census Tract 708 (part), West Glens Falls CDP, Queensbury town, Warren County, New York","Census Tract 708 (part), West Glens Falls CDP, Queensbury town, Warren County, New York","ny","080","00","ACSSF","0009887",,,,,"36","113","60356","80082","3680082","070800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4639,729,1724,1450,471,194,48,23,4639,729,3910,2186,736,265,71,23
"361136035699999070600","08000US361136035699999070600","Census Tract 706 (part), Remainder of Queensbury town, Queensbury town, Warren County, New York","Census Tract 706 (part), Remainder of Queensbury town, Queensbury town, Warren County, New York","ny","080","00","ACSSF","0009888",,,,,"36","113","60356","99999","3699999","070600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5111,302,1685,1501,1004,465,101,53,5111,302,4809,3124,1623,619,154,53
"361136035699999070800","08000US361136035699999070800","Census Tract 708 (part), Remainder of Queensbury town, Queensbury town, Warren County, New York","Census Tract 708 (part), Remainder of Queensbury town, Queensbury town, Warren County, New York","ny","080","00","ACSSF","0009889",,,,,"36","113","60356","99999","3699999","070800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,11,52,27,26,0,0,0,116,11,105,53,26,0,0,0
