Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"36021","05000US36021","Columbia County, New York","Columbia County, New York","ny","050","00","ACSSF","0000023",,,,,"36","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62217,62217,97.8664,635.734021933692,62217,31595,30622,62217,2981,3050,3513,3729,4938,5542,8387,10500,9085,5499,3010,1983,62217,56951,3099,90,958,0,536,583,25359,16369,12650,3719,1210,2509,8990,4413,4577,54573,31875,25359,18510,6849,57699,5457,9773,15230,42469
"36023","05000US36023","Cortland County, New York","Cortland County, New York","ny","050","00","ACSSF","0000024",,,,,"36","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48207,48207,96.48124,499.651550509114,48207,23250,24957,48207,2591,2559,3086,2009,9074,4344,6121,6960,5378,3169,2080,836,48207,46021,758,220,349,34,308,517,17877,11433,8735,2698,685,2013,6444,2891,3553,44853,20397,17877,11759,6118,45221,6540,8108,14648,30573
"36025","05000US36025","Delaware County, New York","Delaware County, New York","ny","050","00","ACSSF","0000025",,,,,"36","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46194,46194,31.93783,1446.37260095414,46194,22795,23399,46194,2137,2276,2809,2062,4752,3778,5619,7256,6650,4704,2869,1282,46194,43936,680,170,340,0,473,595,19101,12334,9430,2904,861,2043,6767,2963,3804,41656,29727,19101,14389,4712,44805,6781,9436,16217,28588
"36027","05000US36027","Dutchess County, New York","Dutchess County, New York","ny","050","00","ACSSF","0000026",,,,,"36","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292187,292187,364.5072,801.594669936695,292187,146790,145397,292187,16001,17705,20913,13439,30730,31164,44477,47958,32728,19645,12630,4797,292187,235182,27836,299,9654,77,13061,6078,102856,70509,55656,14853,4805,10048,32347,15101,17246,68472,112204,102856,73609,29247,274247,21920,30578,52498,221749
"36029","05000US36029","Erie County, New York","Erie County, New York","ny","050","00","ACSSF","0000027",,,,,"36","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914200,914200,875.4942,1044.21025580041,914200,439815,474385,914200,49478,54207,60160,39458,87227,108960,123256,142577,105858,67698,54669,20652,914200,743979,121770,4594,18003,107,13753,11994,380565,232748,166423,66325,15178,51147,147817,65244,82573,46609,423285,380565,253085,127480,888151,123150,142671,265821,622330
"36031","05000US36031","Essex County, New York","Essex County, New York","ny","050","00","ACSSF","0000028",,,,,"36","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37927,37927,21.10806,1796.8013566086,37927,19669,18258,37927,1783,1883,2088,1508,3382,4363,5287,6197,5083,3310,2243,800,37927,34600,1248,183,258,50,413,1175,15639,10268,8266,2002,711,1291,5371,2695,2676,44930,24380,15639,11190,4449,35190,4470,6685,11155,24035
"36033","05000US36033","Franklin County, New York","Franklin County, New York","ny","050","00","ACSSF","0000029",,,,,"36","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50374,50374,30.87612,1631.48715746946,50374,27331,23043,50374,2466,2783,2944,2073,5272,6642,7674,8042,5836,3467,2362,813,50374,42223,3591,2158,628,10,1176,588,18795,12609,9388,3221,1198,2023,6186,2919,3267,40587,24544,18795,13698,5097,43281,6583,9209,15792,27489
"36035","05000US36035","Fulton County, New York","Fulton County, New York","ny","050","00","ACSSF","0000030",,,,,"36","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55031,55031,110.9124,496.166277218273,55031,27068,27963,55031,2948,3324,3608,2391,4458,6045,7859,8769,6988,4109,3246,1286,55031,52443,1017,98,452,0,252,769,22551,15165,10578,4587,1338,3249,7386,3343,4043,41425,28165,22551,16180,6371,53343,8841,11379,20220,33123
"36037","05000US36037","Genesee County, New York","Genesee County, New York","ny","050","00","ACSSF","0000031",,,,,"36","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58208,58208,117.8039,494.109075408844,58208,28762,29446,58208,3207,3720,3829,2661,5096,5780,8350,9677,6784,4508,3092,1504,58208,54945,1301,452,245,16,330,919,23208,15596,12037,3559,1160,2399,7612,3356,4256,48197,24571,23208,17079,6129,57151,6323,10601,16924,40227
"36039","05000US36039","Greene County, New York","Greene County, New York","ny","050","00","ACSSF","0000032",,,,,"36","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49071,49071,75.75655,647.746012722839,49071,25236,23835,49071,2423,2578,3163,2088,5098,4809,6866,7881,6552,4192,2465,956,49071,44369,3040,88,445,0,695,434,18211,11452,8668,2784,919,1865,6759,3101,3658,46213,28202,18211,13428,4783,45012,5421,8998,14419,30593
"36041","05000US36041","Hamilton County, New York","Hamilton County, New York","ny","050","00","ACSSF","0000033",,,,,"36","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5011,5011,2.912706,1720.39340413932,5011,2504,2507,5011,189,232,257,167,225,436,630,889,931,651,319,85,5011,4821,33,33,26,0,65,33,2406,1601,1350,251,103,148,805,385,420,45242,8283,2406,2053,353,4996,632,776,1408,3588
"36043","05000US36043","Herkimer County, New York","Herkimer County, New York","ny","050","00","ACSSF","0000034",,,,,"36","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62439,62439,44.24376,1411.24993011551,62439,30529,31910,62439,3386,3889,3995,2749,5326,7063,8098,9771,8018,4963,3415,1766,62439,60323,577,232,435,0,291,581,25513,16933,12899,4034,1208,2826,8580,3605,4975,42048,32632,25513,18293,7220,61041,7299,14049,21348,39693
"36045","05000US36045","Jefferson County, New York","Jefferson County, New York","ny","050","00","ACSSF","0000035",,,,,"36","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117595,117595,92.43424,1272.20174919729,117595,60070,57525,117595,8125,8027,7827,5078,17459,13714,15862,15850,12034,7020,4976,1623,117595,103821,5539,504,1468,140,2739,3384,43938,31033,23331,7702,1908,5794,12905,6354,6551,43447,57257,43938,26404,17534,113653,16626,23442,40068,73585
"36047","05000US36047","Kings County, New York","Kings County, New York","ny","050","00","ACSSF","0000036",,,,,"36","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2538140,2538140,35947.91,70.6060475955873,2538140,1198870,1339270,2538140,193528,167404,170882,106530,238571,421055,352963,331858,255222,156121,103348,40658,2538140,1126718,881807,6947,231801,792,251865,38210,885197,568213,333181,235032,50582,184450,316984,136768,180216,42894,961271,885197,272665,612532,2515700,547902,519927,1067829,1447871
"36049","05000US36049","Lewis County, New York","Lewis County, New York","ny","050","00","ACSSF","0000037",,,,,"36","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26205,26205,20.54612,1275.42341045596,26205,13075,13130,26205,1576,1346,2017,1278,2526,2701,3498,4317,3124,2018,1376,428,26205,25521,195,85,68,5,104,227,11121,7765,6186,1579,483,1096,3356,1613,1743,41719,16108,11121,8475,2646,25900,4149,5840,9989,15911
"36051","05000US36051","Livingston County, New York","Livingston County, New York","ny","050","00","ACSSF","0000038",,,,,"36","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63162,63162,99.91963,632.128012948323,63162,31621,31541,63162,3184,3137,3980,2548,11138,4822,8861,10115,7375,4255,2655,1092,63162,59430,1774,176,638,15,393,736,22664,14791,12040,2751,825,1926,7873,3708,4165,51698,25066,22664,17330,5334,56585,6959,8387,15346,41239
"36053","05000US36053","Madison County, New York","Madison County, New York","ny","050","00","ACSSF","0000039",,,,,"36","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69868,69868,106.5295,655.855912845928,69868,34371,35497,69868,3685,4100,4459,3034,10126,6533,9455,10977,8249,5048,3307,895,69868,66675,1243,423,550,0,412,565,25881,17474,13547,3927,1088,2839,8407,3775,4632,51670,29612,25881,19733,6148,64301,6249,11602,17851,46450
"36055","05000US36055","Monroe County, New York","Monroe County, New York","ny","050","00","ACSSF","0000040",,,,,"36","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731621,731621,1109.704,659.293989006899,731621,354723,376898,731621,42452,45380,49048,33120,81342,84657,100772,112603,83739,47416,35019,16073,731621,576986,104534,1712,20561,337,14893,12598,286327,179175,130547,48628,11501,37127,107152,47474,59678,51105,313630,286327,192577,93750,705244,92231,110704,202935,502309
"36057","05000US36057","Montgomery County, New York","Montgomery County, New York","ny","050","00","ACSSF","0000041",,,,,"36","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48632,48632,120.1338,404.815367484328,48632,23490,25142,48632,2958,3280,3161,2081,3904,5092,6445,7419,5904,3560,3191,1637,48632,44882,695,129,372,0,1805,749,19857,12822,9126,3696,1150,2546,7035,3211,3824,42716,22630,19857,13954,5903,47952,7366,9800,17166,30786
"36059","05000US36059","Nassau County, New York","Nassau County, New York","ny","050","00","ACSSF","0000042",,,,,"36","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354141,1354141,4723.327,286.69221942341,1354141,658595,695546,1354141,77456,86974,96538,61122,117032,133448,193209,223037,162620,96069,76554,30082,1354141,1023614,146724,2070,91418,29,71607,18679,435764,334876,271146,63730,17231,46499,100888,37930,62958,92450,458626,435764,362098,73666,1332173,63494,115994,179488,1152685
"36061","05000US36061","New York County, New York","New York County, New York","ny","050","00","ACSSF","0000043",,,,,"36","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620962,1620962,70587.87,22.9637480945858,1620962,771590,849372,1620962,93009,64531,63870,39265,145533,352455,268025,215168,176220,107764,66599,28523,1620962,928434,248683,5748,165282,596,225498,46721,742486,300335,194066,106269,22389,83880,442151,201508,240643,66818,845057,742486,177072,565414,1577540,273172,227346,500518,1077022
"36063","05000US36063","Niagara County, New York","Niagara County, New York","ny","050","00","ACSSF","0000044",,,,,"36","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214613,214613,410.391,522.94765844475,214613,104032,110581,214613,11476,12224,14574,9457,19664,23763,29491,35379,25812,15994,11991,4788,214613,192497,14006,1893,1967,29,810,3411,87854,56488,42030,14458,3540,10918,31366,14657,16709,45749,98112,87854,62703,25151,210113,25748,35678,61426,148687
"36065","05000US36065","Oneida County, New York","Oneida County, New York","ny","050","00","ACSSF","0000045",,,,,"36","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231029,231029,190.5075,1212.70282333354,231029,115521,115508,231029,12684,13683,14497,10083,23381,25212,32279,34880,27317,17388,14155,5470,231029,205556,13144,523,3595,73,3590,4548,92544,59815,43426,16389,4222,12167,32729,14849,17880,45433,103749,92544,63098,29446,216276,31407,41123,72530,143746
"36067","05000US36067","Onondaga County, New York","Onondaga County, New York","ny","050","00","ACSSF","0000046",,,,,"36","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453846,453846,581.635,780.293443830628,453846,218448,235398,453846,27086,28931,30607,20185,45744,56012,62209,69649,50564,30112,23028,9719,453846,380140,45140,3272,11809,365,3502,9618,183481,112968,82161,30807,7401,23406,70513,30946,39567,50129,202258,183481,121896,61585,439452,58176,69475,127651,311801
"36069","05000US36069","Ontario County, New York","Ontario County, New York","ny","050","00","ACSSF","0000047",,,,,"36","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104205,104205,161.7131,644.382117600545,104205,51304,52901,104205,5693,5949,7560,4723,9905,9584,14820,17195,13754,7878,4918,2226,104205,97788,2334,131,1096,0,1108,1748,41469,27493,21773,5720,1675,4045,13976,6518,7458,55300,45483,41469,31192,10277,100799,8073,15643,23716,77083
"36071","05000US36071","Orange County, New York","Orange County, New York","ny","050","00","ACSSF","0000048",,,,,"36","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376548,376548,461.265,816.337620097082,376548,189910,186638,376548,26334,28732,30273,19298,39693,38614,59412,57689,38489,20433,12656,4925,376548,294557,36184,861,8891,42,26352,9661,123349,89903,69850,20053,5729,14324,33446,15286,18160,69255,133932,123349,87858,35491,361610,42309,45197,87506,274104
"36073","05000US36073","Orleans County, New York","Orleans County, New York","ny","050","00","ACSSF","0000049",,,,,"36","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42380,42380,108.2792,391.395518434834,42380,21055,21325,42380,2222,2682,2870,2092,4217,4613,6164,6854,4949,3095,1627,995,42380,37779,2937,307,133,0,593,631,15243,10378,8033,2345,667,1678,4865,2349,2516,46418,17591,15243,11602,3641,39166,4982,7706,12688,26478
"36075","05000US36075","Oswego County, New York","Oswego County, New York","ny","050","00","ACSSF","0000050",,,,,"36","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121588,121588,127.5441,953.301961244608,121588,60229,61359,121588,6792,7189,8671,6011,14249,14138,17093,19076,13887,7802,4882,1798,121588,117360,1171,308,906,17,454,1372,46566,30891,23688,7203,2433,4770,15675,8217,7458,45071,54166,46566,34346,12220,115707,17710,22695,40405,75302
"36077","05000US36077","Otsego County, New York","Otsego County, New York","ny","050","00","ACSSF","0000051",,,,,"36","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62086,62086,61.91295,1002.79509557573,62086,30020,32066,62086,2717,3060,3686,2672,11527,4011,7450,9358,8036,4879,3260,1430,62086,58810,1219,81,590,0,459,927,25271,15780,12346,3434,1065,2369,9491,3873,5618,44057,30646,25271,18009,7262,58859,8941,12260,21201,37658
"36079","05000US36079","Putnam County, New York","Putnam County, New York","ny","050","00","ACSSF","0000052",,,,,"36","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99111,99111,428.5271,231.282912507703,99111,49974,49137,99111,5566,6684,7547,4705,7910,9126,16948,17605,12146,6142,3461,1271,99111,88554,2293,0,1608,36,4011,2609,33864,25819,21371,4448,1513,2935,8045,3708,4337,88036,36464,33864,28724,5140,98155,6490,6933,13423,84732
"36081","05000US36081","Queens County, New York","Queens County, New York","ny","050","00","ACSSF","0000053",,,,,"36","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2278860,2278860,20861.96,109.235199545326,2278860,1105976,1172884,2278860,148110,126428,135805,82970,190110,367165,353730,330613,245636,153309,102315,42669,2278860,1028849,437670,9458,487209,654,267757,47263,779776,528428,353248,175180,50256,124924,251348,111351,139997,54870,836112,779776,361944,417832,2256261,273715,430207,703922,1552339
"36083","05000US36083","Rensselaer County, New York","Rensselaer County, New York","ny","050","00","ACSSF","0000054",,,,,"36","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155043,155043,237.0818,653.964222228057,155043,76417,78626,155043,8597,9155,9930,6504,15839,19995,21569,24316,18452,10306,6800,3580,155043,138612,7126,328,3163,13,1496,4305,61211,38891,28581,10310,2633,7677,22320,10841,11479,54221,68951,61211,40704,20507,150589,16654,21563,38217,112372
"36085","05000US36085","Richmond County, New York","Richmond County, New York","ny","050","00","ACSSF","0000055",,,,,"36","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483168,483168,8262.294,58.478677121284,483168,235328,247840,483168,29136,30930,32861,21411,42236,64105,72924,74719,56397,30929,20396,7124,483168,367786,47962,887,35904,0,24251,6378,166783,124604,93779,30825,7729,23096,42179,17876,24303,71206,178237,166783,118625,48158,473401,47392,55580,102972,370429
"36087","05000US36087","Rockland County, New York","Rockland County, New York","ny","050","00","ACSSF","0000056",,,,,"36","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297298,297298,1706.466,174.218530742227,297298,146742,150556,297298,22929,22366,23166,14627,27795,28677,40215,43757,34713,20992,12222,5839,297298,229106,33701,635,18598,203,11670,3385,94154,70912,57494,13418,3863,9555,23242,9505,13737,82368,98610,94154,68576,25578,290066,32092,34700,66792,223274
"36089","05000US36089","St. Lawrence County, New York","St. Lawrence County, New York","ny","050","00","ACSSF","0000057",,,,,"36","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109742,109742,40.86317,2685.59694948394,109742,55994,53748,109742,6104,5493,6851,4631,17501,12158,14085,15735,12665,7685,4826,2008,109742,102909,3253,496,1044,27,838,1175,40819,26938,20724,6214,1747,4467,13881,6820,7061,41670,50836,40819,29369,11450,96183,15981,20931,36912,59271
"36091","05000US36091","Saratoga County, New York","Saratoga County, New York","ny","050","00","ACSSF","0000058",,,,,"36","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216491,216491,266.6657,811.844206227983,216491,106983,109508,216491,12042,14438,13609,9078,19041,24506,34853,35035,26845,14372,8731,3941,216491,205402,3355,489,3364,34,836,3011,84165,56913,46391,10522,3378,7144,27252,12780,14472,64705,94748,84165,62939,21226,212170,13704,24373,38077,174093
"36093","05000US36093","Schenectady County, New York","Schenectady County, New York","ny","050","00","ACSSF","0000059",,,,,"36","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150474,150474,730.092,206.102786576617,150474,73230,77244,150474,9238,9066,10275,6560,13787,17029,21354,23063,16976,10208,9029,3889,150474,124649,12786,577,5637,232,3657,2936,58188,36646,26972,9674,2466,7208,21542,9509,12033,54468,66283,58188,40683,17505,146086,15826,21596,37422,108664
"36095","05000US36095","Schoharie County, New York","Schoharie County, New York","ny","050","00","ACSSF","0000060",,,,,"36","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31813,31813,51.1445,622.021946047626,31813,15852,15961,31813,1453,1925,1800,1412,3891,3157,4134,4927,4226,2569,1806,513,31813,30634,401,198,194,0,156,230,12349,8381,6510,1871,566,1305,3968,1904,2064,49695,16552,12349,9554,2795,29700,3261,5108,8369,21331
"36097","05000US36097","Schuyler County, New York","Schuyler County, New York","ny","050","00","ACSSF","0000061",,,,,"36","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18896,18896,57.48577,328.707400960931,18896,9507,9389,18896,833,1043,1275,926,1709,1828,2586,3105,2621,1642,990,338,18896,18081,457,46,29,0,17,266,7612,5275,4444,831,329,502,2337,1092,1245,44575,9451,7612,5986,1626,18389,1823,4494,6317,12072
"36099","05000US36099","Seneca County, New York","Seneca County, New York","ny","050","00","ACSSF","0000062",,,,,"36","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34181,34181,105.2005,324.912949403627,34181,17784,16397,34181,1820,1762,2208,1478,3286,4113,4802,5310,4353,2538,1754,757,34181,31457,1596,154,302,21,186,465,12229,8670,6318,2352,684,1668,3559,1792,1767,45571,14927,12229,9513,2716,31303,4192,6332,10524,20779
"36101","05000US36101","Steuben County, New York","Steuben County, New York","ny","050","00","ACSSF","0000063",,,,,"36","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96674,96674,69.41767,1392.64249872972,96674,47664,49010,96674,5565,5916,6762,4576,8034,10296,12910,15527,12347,7729,5200,1812,96674,92557,1490,346,1218,0,307,756,39397,26204,20326,5878,2160,3718,13193,6118,7075,42812,47072,39397,28791,10606,95431,13156,20423,33579,61852
