Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T057_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T118_001,SE_T118_002,SE_T118_003,SE_T118_004,SE_T118_005
"36001","05000US36001","Albany County, New York","Albany County, New York","ny","050","00","ACSSF","0000013",,,,,"36","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298341,298341,569.9562,523.445476967461,298341,143597,154744,298341,15388,16327,18118,12082,46389,30194,39897,44826,34643,19165,14837,6475,298341,240217,34516,712,11272,138,5799,5687,122525,70786,51367,19419,4916,14503,51739,23477,28262,55350,133501,122525,73507,49018,283609,35309,36576,71885,211724
"36003","05000US36003","Allegany County, New York","Allegany County, New York","ny","050","00","ACSSF","0000014",,,,,"36","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49391,49391,47.9422,1030.21964271649,49391,24946,24445,49391,2593,3052,2837,2187,8273,5015,5597,7059,5724,3723,2370,961,49391,47477,593,165,554,15,159,428,18646,12198,9698,2500,849,1651,6448,3294,3154,40917,25047,18646,13960,4686,44716,7515,10041,17556,27160
"36005","05000US36005","Bronx County, New York","Bronx County, New York","ny","050","00","ACSSF","0000015",,,,,"36","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381529,1381529,32872.38,42.0270518627886,1381529,647971,733558,1381529,110463,104269,109032,68601,143263,198458,199153,177338,126686,77068,47363,19835,1381529,316199,469392,5734,47965,324,503497,38418,472913,311354,132036,179318,34649,144669,161559,70555,91004,33794,508895,472913,101971,370942,1340459,374468,306059,680527,659932
"36007","05000US36007","Broome County, New York","Broome County, New York","ny","050","00","ACSSF","0000016",,,,,"36","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195209,195209,276.1781,706.822833155984,195209,94636,100573,195209,10160,10292,12361,8020,22390,23469,24368,29631,22501,15096,11904,5017,195209,175083,8375,604,6243,48,1622,3234,80207,48903,35781,13122,3637,9485,31304,13824,17480,43467,89117,80207,53629,26578,186015,27872,35048,62920,123095
"36009","05000US36009","Cattaraugus County, New York","Cattaraugus County, New York","ny","050","00","ACSSF","0000017",,,,,"36","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80349,80349,61.34203,1309.85230819602,80349,39499,40850,80349,4808,5272,5172,3655,8325,7918,10216,12795,10001,6288,4476,1423,80349,75197,998,2048,499,21,346,1240,32639,21433,15974,5459,1553,3906,11206,5450,5756,41482,40612,32639,23981,8658,77108,12105,17419,29524,47584
"36011","05000US36011","Cayuga County, New York","Cayuga County, New York","ny","050","00","ACSSF","0000018",,,,,"36","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79994,79994,115.4007,693.184888887516,79994,40662,39332,79994,4087,4681,5167,3555,7746,8986,11666,12812,9563,5799,4180,1752,79994,74221,3192,244,411,7,695,1224,31760,20563,15545,5018,1557,3461,11197,5127,6070,47414,36062,31760,22745,9015,74119,9189,14021,23210,50909
"36013","05000US36013","Chautauqua County, New York","Chautauqua County, New York","ny","050","00","ACSSF","0000019",,,,,"36","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134078,134078,126.2448,1062.04760794259,134078,65521,68557,134078,7235,7669,8703,6030,14172,15035,16822,20554,16366,10506,7921,3065,134078,126263,2853,544,743,44,1442,2189,54457,34934,26445,8489,2355,6134,19523,9159,10364,40179,65907,54457,38094,16363,127670,20794,27508,48302,79368
"36015","05000US36015","Chemung County, New York","Chemung County, New York","ny","050","00","ACSSF","0000020",,,,,"36","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88161,88161,215.991,408.169847891187,88161,43749,44412,88161,5111,5106,5783,3815,8792,9637,11945,13817,10541,6369,5154,2091,88161,79713,5145,175,899,11,392,1826,35230,22724,16514,6210,1343,4867,12506,5237,7269,42420,38116,35230,23978,11252,82194,12985,16413,29398,52796
"36017","05000US36017","Chenango County, New York","Chenango County, New York","ny","050","00","ACSSF","0000021",,,,,"36","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50956,50956,56.97498,894.357539880494,50956,25263,25693,50956,2702,3174,3463,2546,4311,4881,6817,8315,6752,4157,2625,1213,50956,49218,478,75,171,11,186,817,19992,13763,10400,3363,1461,1902,6229,2772,3457,43991,24373,19992,15610,4382,49801,6228,11094,17322,32479
"36019","05000US36019","Clinton County, New York","Clinton County, New York","ny","050","00","ACSSF","0000022",,,,,"36","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81755,81755,78.69006,1038.94948084702,81755,41778,39977,81755,3847,4020,4811,3371,9923,11798,11727,12734,8966,5735,3448,1375,81755,75990,2748,206,655,68,882,1206,30389,19413,14786,4627,1167,3460,10976,5271,5705,47786,34633,30389,21643,8746,74186,9740,12487,22227,51959
