,totPop,observed_Bladder-Per100k,observed_Bone-Per100k,observed_Brain-Per100k,observed_Breast-Per100k,observed_Colorectal-Per100k,observed_Esophagus-Per100k,observed_Kidney-Per100k,observed_Larynx-Per100k,observed_Leukemia-Per100k,observed_Liver-Per100k,observed_Lung-Per100k,observed_Mesothelioma-Per100k,observed_NHL-Per100k,observed_Nasal-Per100k,observed_Oral-Per100k,observed_Other-Per100k,observed_Ovary-Per100k,observed_Pancreas-Per100k,observed_Prostate-Per100k,observed_Soft_Tissue-Per100k,observed_Stomach-Per100k,observed_Testis-Per100k,observed_Thyroid-Per100k,observed_Uterus-Per100k,observed_Total-Per100k,n_5_1_fugitive_air,n_5_2_stack_air,n_5_1_fugitive_air_benzene,n_5_2_stack_air_benzene,pctSmoking
observed_Soft_Tissue-Per100k,-0.1436988702,0.1366962689,-0.370923447,-0.0974888252,0.1868616187,0.2834203685,0.0116324338,0.2004448359,0.0199547561,0.2554435286,-0.2928093695,0.0284108391,0.3811289554,0.1425936468,0.3988898232,-0.0097861394,0.1517902518,0.2321463093,0.2375421468,0.2139548534,1,-0.0510206728,0.3776973106,-0.057120925,0.0578723634,0.1889114374,0.017882117,0.0958339238,0.1012012827,0.1449392436,0.0144793556
observed_Stomach-Per100k,0.6736992857,-0.4118855054,0.0861946085,-0.3297294729,-0.1672521313,-0.0398642558,-0.2245137533,-0.2301598274,-0.0681537016,-0.2499715198,0.5562151997,-0.5148307163,-0.0656694214,-0.0655973411,0.2027415573,-0.3691577156,-0.0940852495,-0.0076097549,0.1410428001,-0.3288190208,-0.0510206728,1,-0.6736302689,0.0789528858,0.1777213596,-0.2688204728,-0.1669335981,5.81331690582e-06,0.0371022976,-0.0651327919,-0.3553147526
observed_Testis-Per100k,-0.358226141,0.2927497787,-0.2606002397,0.1130431942,0.0557169814,-0.0169096662,0.2118122317,0.012385816,-0.1055347003,-0.1342589367,-0.4575520592,0.3217864638,-0.081924368,-0.0989929724,-0.0955265284,0.1413190611,-0.0531491531,0.0508285497,-0.380925391,0.2209519533,0.3776973106,-0.6736302689,1,-0.1001432467,-0.3800851725,0.0840453177,0.0933987439,-0.0015407378,0.0868188028,0.1535024078,0.1994859269
observed_Thyroid-Per100k,0.2849085593,0.0951931368,0.1009526997,0.095362418,0.2841603503,-0.0944774728,-0.1134566702,0.0905215342,-0.1122930149,0.026137557,0.1633999524,-0.0564251736,-0.1672258813,0.1078882372,0.0472884892,0.0040557618,0.2889444569,0.1793158636,0.0798539478,0.0807756821,-0.057120925,0.0789528858,-0.1001432467,1,0.1964726295,0.1649466237,0.3394272132,0.1091054841,0.2141210256,0.5019457551,-0.2023203729
observed_Uterus-Per100k,-0.1416432417,0.3363211039,-0.064204365,0.428534073,0.6277769549,0.4868811121,0.3884306209,0.5029237715,0.4546314374,0.5312814965,0.028192171,0.3567435132,0.3344437183,0.6958849297,0.2522064978,0.4630663077,0.5098444774,0.1157927368,0.615206438,0.2623671329,0.0578723634,0.1777213596,-0.3800851725,0.1964726295,1,0.6129986961,-0.0726643537,0.1364002719,0.0812772044,-0.0171960628,0.0194754488
observed_Total-Per100k,-0.6135193629,0.8890027383,0.1488997182,0.756018118,0.7997113637,0.7690982463,0.5261598475,0.6696727033,0.4861590917,0.6818597843,-0.383425144,0.8056983615,0.4290896847,0.8025790102,0.2847748812,0.7237724861,0.9035911828,0.4881287231,0.6140089042,0.7560587875,0.1889114374,-0.2688204728,0.0840453177,0.1649466237,0.6129986961,1,0.135246709,0.1894383741,0.1969748819,0.0965351996,0.3888988959
n_5_1_fugitive_air,-0.0732361839,0.2200910882,0.0334406286,0.181145589,0.2718557262,-0.1070866,0.1107804521,-0.0155449016,-0.2133435694,0.0936130912,0.0874490865,0.0239980543,-0.0016215159,0.1248503715,0.0958522211,0.1130137628,0.1519775332,-0.0775937515,-0.004854268,0.1533796585,0.017882117,-0.1669335981,0.0933987439,0.3394272132,-0.0726643537,0.135246709,1,0.598655609,0.5132208861,0.6572066656,0.0021690072
n_5_2_stack_air,0.0751312827,0.199588113,0.0965022757,0.0534604883,0.4281442605,-0.0778488977,0.1033094813,0.0521363721,-0.1671695488,0.1226024423,0.0520212398,0.0041574181,0.0499054389,0.1316040456,0.0795426446,0.1846101055,0.1960129277,-0.0636377324,0.0940971634,0.263184447,0.0958339238,5.81331690582e-06,-0.0015407378,0.1091054841,0.1364002719,0.1894383741,0.598655609,1,0.5940534436,0.5853111601,0.0406625295
n_5_1_fugitive_air_benzene,0.167052291,0.1828746292,0.0498729319,0.0345595268,0.3134739145,-0.0122988325,0.0916114971,0.0018178334,-0.0129121469,0.0895063734,0.0372727489,0.0276512068,0.1399704873,0.0909408426,0.0876205997,0.1513507311,0.259049987,0.0245067739,0.0696694818,0.2682820274,0.1012012827,0.0371022976,0.0868188028,0.2141210256,0.0812772044,0.1969748819,0.5132208861,0.5940534436,1,0.7681055205,0.1054379413
n_5_2_stack_air_benzene,0.2900189359,0.0714406219,0.0642713659,-0.0808026009,0.3121659581,-0.2158118697,-0.0093760824,-0.0549683252,-0.1832830601,-0.0022297675,0.1242122643,-0.0771641784,-0.0075597167,0.0917743996,0.0781836248,0.046692935,0.1779055196,-0.073258525,-0.0134388834,0.2007535866,0.1449392436,-0.0651327919,0.1535024078,0.5019457551,-0.0171960628,0.0965351996,0.6572066656,0.5853111601,0.7681055205,1,-0.1265092399
pctSmoking,-0.6215940335,0.4751575116,0.0001054906,0.498274368,0.1327130957,0.3959620554,0.2896403237,0.1469408941,0.4177824904,0.2439690983,-0.5816256435,0.6433996563,0.1429174619,0.1172083495,0.0562138227,0.338601737,0.3486446154,0.4789150093,0.0248064097,0.0781578205,0.0144793556,-0.3553147526,0.1994859269,-0.2023203729,0.0194754488,0.3888988959,0.0021690072,0.0406625295,0.1054379413,-0.1265092399,1
